AFRICAN NATIONS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,7.7,8,31.6,31.6,31.6,31.6,32.5,32.5,32.5,32.5
Angola,38.6,38.2,34.1,34.1,34.1,34.1,32,32,32,32
Benin,10.8,8.4,8.4,8.4,8.4,8.4,9.6,9.6,9.6,9.6
Botswana,7.9,7.9,7.9,7.9,7.9,7.9,6.3,6.3,6.3,6.3
Burkina Faso,15.3,15.3,15.7,15.7,15.7,15.7,14.9,14.9,14.9,14.9
Burundi,32.1,30.5,30.5,30.5,30.5,30.5,28.6,28.6,28.6,28.6
Cameroon,13.9,13.9,13.9,31.1,31.1,31.1,34.8,34.8,34.8,34.8
Cape Verde,18.1,20.8,20.8,20.8,20.8,20.8,21.9,21.9,21.9,21.9
Central African Republic,9.6,12.5,12.5,12.5,12.5,12.5,15.3,15.3,15.3,15.3
Chad,5.2,12.8,14.9,14.9,14.9,14.9,12.2,12.2,12.2,12.2
Comoros,3,3,3,3,3,3,4,4,4,4
Congo,7.3,7.3,7.4,7.4,7.4,7.4,8.6,8.6,8.6,8.6
Côte d'Ivoire,8.9,11,10.4,10.4,10.4,10.4,13.4,13.4,13.4,13.4
Democratic Republic of the Congo,8.4,0,8.9,8.9,8.9,8.9,9.3,9.3,9.3,9.3
Djibouti,13.8,13.8,13.8,12.7,12.7,12.7,15.3,15.3,15.3,15.3
Egypt,12.7,2,2,2,2,2,4.3,4.3,4.3,4.3
Equatorial Guinea,10,10,10,12.1,12.1,12.1,13.5,13.5,13.5,13.5
Eritrea,22,22,22,22,22,22,21.5,21.5,21.5,21.5
Ethiopia,27.8,27.8,27.8,27.8,27.8,27.8,24.3,24.3,24.3,24.3
Gabon,14.7,14.2,15.8,15.8,15.8,15.8,12.4,12.4,12.4,12.4
Gambia,7.5,7.5,7.5,7.5,7.5,7.5,6.3,6.3,6.3,6.3
Ghana,8.3,8.3,8.3,10.9,10.9,10.9,10.9,10.9,10.9,10.9
Guinea,0,0.6,2.7,2.7,2.7,2.7,3.2,3.2,3.2,3.2
Guinea-Bissau,10,10,14,14,14,14,13.5,13.5,13.5,13.5
Kenya,9.8,9.8,9.8,18.6,18.6,18.6,14.3,14.3,14.3,14.3
Lesotho,24.2,24.2,26.7,26.7,26.7,26.7,24.6,24.6,24.6,24.6
Liberia,12.5,9.6,11,11,11,11,13,13,13,13
Libyan Arab Jamahiriya,7.7,0,16.5,16.5,16.5,16.5,17.6,17.6,17.6,17.6
Madagascar,12.5,12.5,17.5,17.5,17.5,17.5,19.2,19.2,19.2,19.2
Malawi,20.8,22.3,22.3,22.3,22.3,22.3,20.4,20.4,20.4,20.4
Mali,10.2,10.2,10.2,10.2,10.2,10.2,9.5,9.5,9.5,9.5
Mauritania,22.1,22.1,22.1,22.1,22.1,22.1,20.7,20.7,20.7,20.7
Mauritius,18.8,18.8,18.8,18.8,18.8,18.8,16.3,16.3,16.3,16.3
Morocco,10.5,17,17,17,17,17,15,15,15,15
Mozambique,39.2,39.2,39.2,39.2,39.2,39.2,41.3,41.3,41.3,41.3
Namibia,24.4,24.4,24.4,24.4,24.4,24.4,25.9,25.9,25.9,25.9
Niger,0,13.3,13.3,13.3,13.3,13.3,11.9,11.9,11.9,11.9
Nigeria,7,6.8,6.7,6.7,6.7,6.7,7.2,7.2,7.2,7.2
Rwanda,56.3,56.3,56.3,63.8,63.8,63.8,65,65,65,65
Sao Tome and Principe,18.2,18.2,18.2,18.2,18.2,18.2,16,16,16,16
Senegal,22.7,22.7,42.7,42.7,42.7,42.7,40.1,40.1,40.1,40.1
Sierra Leone,13.2,12.9,12.4,12.4,12.4,12.4,10.5,10.5,10.5,10.5
Somalia,6.8,6.8,13.8,13.8,13.8,13.8,15.7,15.7,15.7,15.7
South Africa,44.5,42.3,42.3,42.3,42.3,42.3,39.5,39.5,39.5,39.5
Sudan,25.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6
Swaziland,13.6,13.6,13.6,6.2,6.2,6.2,8.1,8.1,8.1,8.1
Togo,11.1,11.1,11.1,15.4,15.4,15.4,16,16,16,16
Tunisia,27.6,26.7,26.7,26.7,26.7,26.7,29.4,29.4,29.4,29.4
Uganda,31.3,35,35,35,35,35,30.5,30.5,30.5,30.5
United Republic of Tanzania,0,36,36,36,36,36,39.7,39.7,39.7,39.7
Zambia,14,11.5,11.5,11.5,11.5,11.5,12.6,12.6,12.6,12.6
Zimbabwe,15,15,15,31.5,31.5,31.5,29.8,29.8,29.8,29.8
